  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =    15.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.4638   0.00570   0.00131   0.0007   0.6424   0.0282
  -3.500  -0.4055   0.00564   0.00117   0.0007   0.5951   0.0314
  -3.000  -0.3474   0.00554   0.00103   0.0006   0.5517   0.0425
  -2.500  -0.2896   0.00539   0.00088   0.0006   0.5054   0.0702
  -2.000  -0.2314   0.00531   0.00079   0.0005   0.4610   0.0923
  -1.500  -0.1734   0.00519   0.00069   0.0004   0.4236   0.1307
  -1.000  -0.1157   0.00511   0.00063   0.0003   0.3707   0.1767
   0.000   0.0001   0.00509   0.00058  -0.0000   0.2656   0.2651
   0.500   0.0582   0.00515   0.00060  -0.0002   0.2163   0.3009
   1.000   0.1158   0.00512   0.00063  -0.0003   0.1756   0.3709
   1.500   0.1736   0.00518   0.00069  -0.0004   0.1312   0.4236
   2.000   0.2316   0.00531   0.00079  -0.0005   0.0929   0.4621
   2.500   0.2898   0.00539   0.00088  -0.0006   0.0700   0.5057
   3.000   0.3475   0.00554   0.00103  -0.0007   0.0420   0.5507
   3.500   0.4057   0.00564   0.00117  -0.0007   0.0315   0.5950
   4.000   0.4640   0.00569   0.00131  -0.0008   0.0283   0.6433
   4.500   0.5223   0.00578   0.00147  -0.0008   0.0256   0.6880
   5.000   0.5805   0.00588   0.00166  -0.0008   0.0238   0.7341
   5.500   0.6389   0.00595   0.00182  -0.0008   0.0237   0.7788
   6.000   0.6970   0.00604   0.00201  -0.0007   0.0232   0.8263
   6.500   0.7548   0.00619   0.00224  -0.0005   0.0213   0.8704
   7.000   0.8124   0.00637   0.00249  -0.0002   0.0190   0.9069
   7.500   0.8693   0.00663   0.00278   0.0003   0.0164   0.9364
   8.000   0.9251   0.00698   0.00316   0.0011   0.0120   0.9604
   8.500   0.9796   0.00737   0.00357   0.0021   0.0095   0.9792
   9.000   1.0350   0.00782   0.00402   0.0030   0.0075   0.9919
  10.000   1.1578   0.00883   0.00504   0.0022   0.0055   0.9997
  10.500   1.2126   0.00943   0.00564   0.0032   0.0046   1.0000
  11.000   1.2674   0.00997   0.00621   0.0043   0.0043   1.0000
  11.500   1.3217   0.01063   0.00689   0.0055   0.0039   1.0000
  12.000   1.3751   0.01139   0.00769   0.0069   0.0033   1.0000
  12.500   1.4288   0.01210   0.00843   0.0082   0.0032   1.0000
  13.000   1.4811   0.01292   0.00931   0.0098   0.0030   1.0000
  13.500   1.5315   0.01391   0.01036   0.0117   0.0027   1.0000
  14.000   1.5797   0.01505   0.01157   0.0138   0.0023   1.0000
  14.500   1.6276   0.01612   0.01273   0.0161   0.0023   1.0000
  15.000   1.6726   0.01735   0.01405   0.0187   0.0022   1.0000
  15.500   1.7137   0.01876   0.01556   0.0217   0.0021   1.0000
  16.000   1.7486   0.02042   0.01733   0.0253   0.0020   1.0000
