  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-206                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =    15.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2751   0.00483   0.00114  -0.0420   0.7920   0.0019
  -3.500  -0.2179   0.00464   0.00087  -0.0420   0.7650   0.0028
  -3.000  -0.1608   0.00449   0.00066  -0.0421   0.7343   0.0058
  -2.500  -0.1036   0.00439   0.00052  -0.0423   0.7025   0.0099
  -2.000  -0.0464   0.00436   0.00042  -0.0424   0.6722   0.0110
  -1.500   0.0106   0.00436   0.00035  -0.0426   0.6352   0.0111
  -1.000   0.0673   0.00438   0.00027  -0.0428   0.5814   0.0242
  -0.500   0.1230   0.00454   0.00027  -0.0428   0.4810   0.0626
   0.000   0.1768   0.00502   0.00036  -0.0428   0.2570   0.1572
   0.500   0.2323   0.00511   0.00043  -0.0431   0.1283   0.3020
   1.000   0.2883   0.00482   0.00050  -0.0435   0.0542   0.5493
   1.500   0.3450   0.00489   0.00060  -0.0437   0.0215   0.6148
   2.000   0.4018   0.00495   0.00075  -0.0439   0.0098   0.6765
   2.500   0.4588   0.00504   0.00090  -0.0440   0.0097   0.7106
   3.000   0.5159   0.00512   0.00103  -0.0442   0.0094   0.7457
   3.500   0.5728   0.00528   0.00124  -0.0442   0.0061   0.7765
   4.000   0.6294   0.00549   0.00148  -0.0442   0.0035   0.8056
   4.500   0.6859   0.00577   0.00180  -0.0441   0.0020   0.8290
   5.000   0.7423   0.00611   0.00221  -0.0438   0.0013   0.8522
   5.500   0.7984   0.00647   0.00265  -0.0435   0.0011   0.8756
   6.000   0.8537   0.00704   0.00335  -0.0429   0.0007   0.9013
   6.500   0.9092   0.00752   0.00392  -0.0424   0.0006   0.9244
   7.000   0.9632   0.00827   0.00483  -0.0414   0.0006   0.9489
   8.000   1.0671   0.01128   0.00833  -0.0388   0.0004   1.0000
   8.500   1.0738   0.02725   0.02550  -0.0328   0.0004   1.0000
   9.000   1.0232   0.05443   0.05368  -0.0266   0.0004   1.0000
  10.500   0.9143   0.09570   0.09534  -0.0442   0.0005   1.0000
  11.000   0.8966   0.11010   0.10974  -0.0531   0.0005   1.0000
  11.500   0.8503   0.13620   0.13581  -0.0665   0.0004   1.0000
  12.000   0.8529   0.14779   0.14740  -0.0723   0.0004   1.0000
  12.500   0.8655   0.15559   0.15520  -0.0767   0.0003   1.0000
  13.000   0.8678   0.16888   0.16848  -0.0830   0.0002   1.0000
