  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0406 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =    15.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1726   0.00559   0.00078  -0.0432   0.0630   0.3008
  -2.000  -0.0659   0.00527   0.00080  -0.0400   0.4666   0.0383
  -4.000  -0.3036   0.00535   0.00142  -0.0376   0.7405   0.0044
  -3.500  -0.2442   0.00534   0.00120  -0.0382   0.6632   0.0044
  -3.000  -0.1848   0.00532   0.00103  -0.0387   0.6026   0.0046
  -2.500  -0.1252   0.00523   0.00088  -0.0393   0.5460   0.0217
  -2.000  -0.0659   0.00527   0.00080  -0.0400   0.4666   0.0382
  -1.500  -0.0065   0.00542   0.00076  -0.0407   0.3418   0.0735
  -1.000   0.0529   0.00556   0.00074  -0.0415   0.2241   0.1210
  -0.500   0.1127   0.00562   0.00075  -0.0424   0.1166   0.2071
   0.000   0.1726   0.00559   0.00078  -0.0432   0.0630   0.3008
   0.500   0.2332   0.00541   0.00082  -0.0442   0.0362   0.4390
   1.500   0.3515   0.00560   0.00109  -0.0451   0.0053   0.5289
   2.000   0.4105   0.00569   0.00126  -0.0455   0.0053   0.5673
   2.500   0.4695   0.00580   0.00147  -0.0458   0.0052   0.6095
   3.000   0.5281   0.00596   0.00163  -0.0460   0.0051   0.6264
   3.500   0.5870   0.00609   0.00181  -0.0462   0.0049   0.6621
   4.000   0.6457   0.00624   0.00200  -0.0463   0.0041   0.6920
   4.500   0.7043   0.00657   0.00240  -0.0463   0.0035   0.7155
   5.000   0.7626   0.00703   0.00297  -0.0461   0.0033   0.7360
   5.500   0.8204   0.00768   0.00376  -0.0458   0.0033   0.7544
   6.000   0.8776   0.00859   0.00484  -0.0454   0.0032   0.7759
   6.500   0.9325   0.01041   0.00694  -0.0446   0.0031   0.7908
   7.000   0.9911   0.01048   0.00702  -0.0442   0.0031   0.8034
   7.500   1.0483   0.01119   0.00784  -0.0436   0.0031   0.8240
   8.000   1.1069   0.01136   0.00803  -0.0431   0.0030   0.8426
   8.500   1.1641   0.01206   0.00884  -0.0423   0.0029   0.8639
   9.000   1.2225   0.01242   0.00925  -0.0415   0.0027   0.8855
   9.500   1.2797   0.01312   0.01004  -0.0405   0.0025   0.9111
  10.000   1.3375   0.01357   0.01056  -0.0393   0.0022   0.9433
  10.500   1.3885   0.01499   0.01224  -0.0370   0.0018   1.0000
  11.000   1.4343   0.01817   0.01579  -0.0346   0.0017   1.0000
  11.500   1.4739   0.02213   0.02014  -0.0318   0.0016   1.0000
  12.000   1.4892   0.02970   0.02826  -0.0279   0.0016   1.0000
  13.000   0.9169   0.16981   0.16944  -0.0981   0.0017   1.0000
  13.500   0.9262   0.17829   0.17792  -0.1022   0.0016   1.0000
  14.000   0.9376   0.18618   0.18581  -0.1061   0.0016   1.0000
  14.500   0.9499   0.19390   0.19352  -0.1102   0.0015   1.0000
  15.000   0.9636   0.20144   0.20106  -0.1143   0.0014   1.0000
  15.500   0.9769   0.20942   0.20904  -0.1188   0.0012   1.0000
